# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 12 09:57:35 2014
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period (val)
# COLUMN pl_orbpererr1:  Orbital Period (upper unc)
# COLUMN pl_orbpererr2:  Orbital Period (lower unc)
# COLUMN pl_orbperlim:   Orbital Period (limit flag)
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis (val)
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis (upper unc)
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis (lower unc)
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis (limit flag)
# COLUMN pl_orbeccen:    Eccentricity (val)
# COLUMN pl_orbeccenerr1: Eccentricity (upper unc)
# COLUMN pl_orbeccenerr2: Eccentricity (lower unc)
# COLUMN pl_orbeccenlim: Eccentricity (limit flag)
# COLUMN pl_orbincl:     Inclination (val)
# COLUMN pl_orbinclerr1: Inclination (upper unc)
# COLUMN pl_orbinclerr2: Inclination (lower unc)
# COLUMN pl_orbincllim:  Inclination (limit flag)
# COLUMN pl_massj:       Planet Mass [jup] (val)
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc)
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc)
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN pl_msinijerr1:  Planet M*sin(i) [jup] (upper unc)
# COLUMN pl_msinijerr2:  Planet M*sin(i) [jup] (lower unc)
# COLUMN pl_msinijlim:   Planet M*sin(i) [jup] (limit flag)
# COLUMN pl_radj:        Planet Radius (val)
# COLUMN pl_radjerr1:    Planet Radius (upper unc)
# COLUMN pl_radjerr2:    Planet Radius (lower unc)
# COLUMN pl_radjlim:     Planet Radius (limit flag)
# COLUMN pl_dens:        Planet Density (val)
# COLUMN pl_denserr1:    Planet Density (upper unc)
# COLUMN pl_denserr2:    Planet Density (lower unc)
# COLUMN pl_denslim:     Planet Density (limit flag)
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance (val)
# COLUMN st_disterr1:    Distance (upper unc)
# COLUMN st_disterr2:    Distance (lower unc)
# COLUMN st_distlim:     Distance (limit flag)
# COLUMN st_vj:          V-band (val)
# COLUMN st_vjerr:       V-band (unc)
# COLUMN st_vjlim:       V-band (limit flag)
# COLUMN st_vjblend:     V-band (blend flag)
# COLUMN st_teff:        Effective Temperature (val)
# COLUMN st_tefferr:     Effective Temperature (unc)
# COLUMN st_tefflim:     Effective Temperature (limit flag)
# COLUMN st_teffblend:   Effective Temperature (blend flag)
# COLUMN st_mass:        Stellar Mass (val)
# COLUMN st_masserr:     Stellar Mass (unc)
# COLUMN st_masslim:     Stellar Mass (limit flag)
# COLUMN st_massblend:   Stellar Mass (blend flag)
# COLUMN st_rad:         Stellar Radius (val)
# COLUMN st_raderr:      Stellar Radius (unc)
# COLUMN st_radlim:      Stellar Radius (limit flag)
# COLUMN st_radblend:    Stellar Radius (blend flag)
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
# COLUMN st_sp:          Spectral Type (val)
# COLUMN st_spstr:       Spectral Type
# COLUMN st_sperr:       Spectral Type (unc)
# COLUMN st_splim:       Spectral Type (limit flag)
# COLUMN st_spblend:     Spectral Type (blend flag)
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,st_sp,st_spstr,st_sperr,st_splim,st_spblend
11,24 Sex,c,Radial Velocity,2,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,,,,,,,,,0.86000,0.35000,-0.22000,0,,,,,,,,,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.010,0,0,5098.00,44.00,0,0,1.54,0.08,0,0,4.90,0.08,0,0,HD 90043,HIP 50887,5.00,K0 IV,,0,0
12,30 Ari B,b,Radial Velocity,1,335.10000000,2.50000000,-2.50000000,0,0.995000,0.012000,-0.012000,0,0.289000,0.092000,-0.092000,0,,,,,,,,,9.88000,0.94000,-0.94000,0,,,,,,,,,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,1.64,-1.79,0,6.962,0.011,0,0,6300.00,60.00,0,0,1.16,0.04,0,0,1.13,0.03,0,0,HD 16232,HIP 12184,3.60,F6 V,,0,0
13,42 Dra,b,Radial Velocity,1,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,0.380000,0.060000,-0.060000,0,,,,,,,,,3.88000,0.85000,-0.85000,0,,,,,,,,,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.34,-4.76,0,4.820,,0,0,4200.00,70.00,0,0,0.98,0.05,0,0,22.03,1.00,0,0,HD 170693,HIP 90344,5.15,K1.5 III,,0,0
14,47 UMa,b,Radial Velocity,3,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,,,,,,,,,2.53000,0.07000,-0.06000,0,,,,,,,,,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.050,,0,0,5892.00,70.00,0,0,1.03,0.05,0,0,1.23,,0,0,HD 95128,HIP 53721,4.00,G0 V,,0,0
15,47 UMa,c,Radial Velocity,3,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,,,,,,,,,0.54000,0.06600,-0.07300,0,,,,,,,,,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.050,,0,0,5892.00,70.00,0,0,1.03,0.05,0,0,1.23,,0,0,HD 95128,HIP 53721,4.00,G0 V,,0,0
16,47 UMa,d,Radial Velocity,3,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,,,,,,,,,1.64000,0.29000,-0.48000,0,,,,,,,,,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.050,,0,0,5892.00,70.00,0,0,1.03,0.05,0,0,1.23,,0,0,HD 95128,HIP 53721,4.00,G0 V,,0,0
17,51 Peg,b,Radial Velocity,1,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,,,,,,,,,0.47200,0.03900,-0.03900,0,,,,,,,,,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,0.18,-0.18,0,5.500,,0,0,5793.00,70.00,0,0,1.12,0.06,0,0,1.20,,0,0,HD 217014,HIP 113357,4.25,G2.5 IV,,0,0
18,55 Cnc,b,Radial Velocity,5,14.65100000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,0.004000,0.003000,-0.003000,0,,,,,,,,,0.80000,0.01200,-0.01200,0,,,,,,,,,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196.00,24.00,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,5.00,K0 IV-V,,0,0
19,55 Cnc,c,Radial Velocity,5,44.38000000,0.00700000,-0.00700000,0,0.237000,0.001300,-0.001300,0,0.070000,0.020000,-0.020000,0,,,,,,,,,0.16500,0.00540,-0.00540,0,,,,,,,,,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196.00,24.00,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,5.00,K0 IV-V,,0,0
20,55 Cnc,d,Radial Velocity,5,4909.00000000,30.00000000,-30.00000000,0,5.470000,0.060000,-0.060000,0,0.020000,0.008000,-0.008000,0,,,,,,,,,3.53000,0.08000,-0.08000,0,,,,,,,,,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196.00,24.00,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,5.00,K0 IV-V,,0,0
21,55 Cnc,e,Radial Velocity,5,0.73654000,0.00000300,-0.00000300,0,0.015830,0.000200,-0.000200,0,,,,,90.000,3.800,-3.800,0,0.02700,0.00100,-0.00100,0,,,,,0.178,0.012,-0.012,0,5.90000,1.50000,-1.10000,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196.00,24.00,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,5.00,K0 IV-V,,0,0
22,55 Cnc,f,Radial Velocity,5,261.20000000,0.40000000,-0.40000000,0,0.770000,0.005000,-0.005000,0,0.320000,0.050000,-0.050000,0,,,,,,,,,0.17200,0.00800,-0.00800,0,,,,,,,,,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196.00,24.00,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,5.00,K0 IV-V,,0,0
23,61 Vir,b,Radial Velocity,3,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,,,,,,,,,0.01600,0.00200,-0.00200,0,,,,,,,,,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.740,,0,0,5577.00,33.00,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,4.50,G5 V,,0,0
24,61 Vir,c,Radial Velocity,3,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,,,,,,,,,0.05700,0.00300,-0.00300,0,,,,,,,,,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.740,,0,0,5577.00,33.00,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,4.50,G5 V,,0,0
25,61 Vir,d,Radial Velocity,3,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,,,,,,,,,0.07200,0.00800,-0.00800,0,,,,,,,,,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.740,,0,0,5577.00,33.00,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,4.50,G5 V,,0,0
26,70 Vir,b,Radial Velocity,1,116.68840000,0.00440000,-0.00440000,0,0.484000,0.028000,-0.028000,0,0.400700,0.003500,-0.003500,0,,,,,7.49000,0.61000,-0.61000,0,,,,,,,,,,,,,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,0.24,-0.24,0,4.980,,0,0,5545.00,,0,0,1.11,,0,0,,,,,HD 117176,HIP 65721,4.40,G4 V,,0,0
27,75 Cet,b,Radial Velocity,1,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,0.117000,0.048000,-0.048000,0,,,,,3.00000,,,0,,,,,,,,,,,,,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.50,6.87,-8.27,0,5.350,,0,0,4846.00,18.00,0,0,2.49,0.02,0,0,10.50,1.00,0,0,HD 15779,HIP 11791,4.30,G3 III,,0,0
28,81 Cet,b,Radial Velocity,1,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,0.206000,0.029000,-0.029000,0,,,,,,,,,5.30000,,,0,,,,,,,,,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,8.37,-10.11,0,5.650,,0,0,4785.00,25.00,0,0,2.40,0.10,0,0,11.00,2.00,0,0,HD 16400,HIP 12247,4.50,G5 III,,0,0
29,91 Aqr,b,Radial Velocity,1,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,0.027000,0.026000,-0.026000,0,,,,,,,,,3.20000,,,0,,,,,,,,,0,0,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,45.52,1.77,-1.92,0,4.250,,0,0,4665.00,18.00,0,0,1.40,0.10,0,0,11.00,0.10,0,0,HD 219449,HIP 114855,5.00,K0 III,,0,0
30,AB Pic,b,Imaging,1,,,,,260.000000,,,0,,,,,,,,,13.50000,0.50000,-0.50000,0,,,,,,,,,,,,,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,45.52,1.64,-1.76,0,9.128,0.019,0,0,,,,,,,,,,,,,HD 44627,HIP 30034,5.20,K2 V,,0,0
31,CT Cha,b,Imaging,1,,,,,440.000000,,,0,,,,,,,,,17.00000,6.00000,-6.00000,0,,,,,2.200,0.810,-0.600,0,,,,,0,0,11h04m09.09s,166.037872,-76d27m19.4s,-76.455383,165.00,30.00,-30.00,0,,,,,,,,,,,,,,,,,,,,,,,
32,DH Tau,b,Imaging,1,,,,,330.000000,,,0,,,,,,,,,11.00000,10.00000,-3.00000,0,,,,,,,,,,,,,0,0,04h29m41.56s,67.423157,+26d32m58.3s,26.549520,140.00,15.00,-15.00,0,,,,,,,,,0.33,,0,0,0.27,0.07,0,0,,,6.05,M0.5,,0,0
33,DP Leo,b,Eclipse Timing Variations,1,10220.00000000,730.00000000,-730.00000000,0,8.190000,0.390000,-0.390000,0,0.390000,0.130000,-0.130000,0,,,,,,,,,6.05000,0.47000,-0.58000,0,,,,,,,,,0,0,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,,,,,,,,,,,,,0.69,,0,0,,,,,,,,,,,
34,FU Tau,b,Imaging,1,,,,,800.000000,,,0,,,,,,,,,15.71100,,,0,,,,,,,,,,,,,0,0,04h23m35.74s,65.898911,+25d02m59.6s,25.049898,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,FW Tau,b,Imaging,1,,,,,330.000000,30.000000,-30.000000,0,,,,,,,,,10.00000,4.00000,-4.00000,0,,,,,,,,,,,,,0,0,04h29m29.71s,67.373795,+26d16m53.2s,26.281448,145.00,15.00,-15.00,0,,,,,3270.00,70.00,0,0,0.28,0.05,0,0,,,,,,,6.40,M4,,0,0
36,GQ Lup,b,Imaging,1,,,,,100.000000,,,0,,,,,,,,,20.00000,,,0,,,,,3.000,0.500,-0.500,0,,,,,0,0,15h49m12.10s,237.300430,-35d39m05.1s,-35.651421,139.00,45.00,-45.00,0,12.430,,0,0,,,,,0.70,,0,0,,,,,,,5.70,K7e V,,0,0
37,HN Peg,b,Imaging,1,,,,,773.000000,13.000000,-13.000000,0,,,,,,,,,21.99870,9.42803,-9.42803,0,,,,,1.051,0.136,-0.058,0,,,,,0,0,21h44m31.33s,326.130554,+14d46m19.0s,14.771939,18.39,0.28,-0.29,0,5.950,0.010,0,0,,,,,,,,,,,,,HD 206860,HIP 107350,4.00,G0 IV-V,,0,0
38,HW Vir,b,Eclipse Timing Variations,2,5767.00000000,,,0,,,,,,,,,,,,,19.20000,,,0,,,,,,,,,,,,,0,0,12h44m20.24s,191.084320,-08d40m16.8s,-8.671344,130.72,,,-1,,,,,,,,,,,,,,,,,,HIP 62157,,,,,
39,HW Vir,c,Eclipse Timing Variations,2,3321.00000000,,,0,,,,,,,,,,,,,8.50000,,,0,,,,,,,,,,,,,0,0,12h44m20.24s,191.084320,-08d40m16.8s,-8.671344,130.72,,,-1,,,,,,,,,,,,,,,,,,HIP 62157,,,,,
40,NN Ser,c,Eclipse Timing Variations,2,5573.55000000,102.20000000,-102.20000000,0,5.350000,0.060000,-0.060000,0,0.080000,0.050000,-0.050000,0,,,,,7.33000,0.31000,-0.31000,0,,,,,,,,,,,,,0,0,15h52m56.13s,238.233871,+12d54m44.7s,12.912411,500.00,,,0,,,,,57000.00,,0,0,0.54,,0,0,,,,,,,,WD,,0,0
41,NN Ser,d,Eclipse Timing Variations,2,2883.50000000,182.50000000,-182.50000000,0,3.430000,0.140000,-0.140000,0,0.190000,0.050000,-0.050000,0,,,,,2.30000,0.50000,-0.50000,0,,,,,,,,,,,,,0,0,15h52m56.13s,238.233871,+12d54m44.7s,12.912411,500.00,,,0,,,,,57000.00,,0,0,0.54,,0,0,,,,,,,,WD,,0,0
42,NY Vir,b,Eclipse Timing Variations,1,2900.00000000,,,,3.300000,,,,,,,,,,,,2.30000,0.30000,-0.30000,0,,,,,,,,,,,,,0,0,13h38m48.15s,204.700623,-02d01m49.1s,-2.030315,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,RR Cae,b,Eclipse Timing Variations,1,4343.50000000,36.50000000,-36.50000000,0,5.300000,0.600000,-0.600000,0,0.000000,,,0,17.600,,,-1,,,,,4.20000,0.40000,-0.40000,0,,,,,,,,,0,0,04h21m05.56s,65.273178,-48d39m07.1s,-48.651978,,,,,,,,,,,,,0.44,,0,0,,,,,,,6.00,M,,0,0
44,UZ For,b,Eclipse Timing Variations,2,5840.00000000,1095.00000000,-1095.00000000,0,5.900000,1.400000,-1.400000,0,0.040000,0.050000,-0.050000,0,,,,,6.30000,1.50000,-1.50000,-1,,,,,,,,,,,,,0,0,03h35m28.64s,53.869339,-25d44m21.8s,-25.739395,,,,,,,,,,,,,0.70,,0,0,,,,,,,,,,,
